0.86241,0.77582,1.4932,1.6188,1.048,1,0.51057,0.22403,1.0488,0.021435,0.057141
0.96464,1.1525,0.98136,2.5864,1.2238,1,0.43549,0.24316,1.0677,0.035875,0.15005
0.94875,0.9969,1.0881,2.4832,1.2096,1,0.47286,0.21941,1.1662,0.022954,0.12347
0.71026,1.3111,0.84456,1.6611,1.2615,1,0.39177,0.11234,1.1533,0.03252,0.19056
1.0438,1.043,1.2944,2.3276,1.3108,1,0.39852,0.21281,0.9,0.024074,0.13275
0.76438,1.0804,0.88865,1.6716,1.0731,1,0.35676,0.2093,1.245,0.036534,0.13071
1.2184,0.9922,1.626,3.2594,1.3423,1,0.37801,0.44724,1.0677,0.01721,0.088481
0.72892,1.2352,0.82844,2.4891,1.1754,1,0.79798,0.21654,1.3342,0.039995,0.16646
0.83295,1.1403,1.3753,2.9596,1.1915,1,0.43789,0.60758,0.9434,0.020582,0.14341
1.0142,1.0761,1.2054,1.76,1.3166,0.875,0.3834,0.38932,0.98995,0.02106,0.10358
0.93162,1.3226,1.1315,1.9444,1.3371,1,0.36279,0.43645,1.2083,0.041243,0.17672
0.98405,1.5027,0.89873,2.8898,1.5779,0.75,0.40899,0.31621,0.99499,0.048509,0.3156
0.77064,1.0358,0.94982,3.0165,1.0818,0.75,0.36573,0.52221,0.9,0.025443,0.13341
0.77666,1.133,0.85265,1.5641,1.1519,1,0.38271,0.35462,1.1916,0.032271,0.13048
1.1167,1.3106,1.1832,2.9552,1.405,1,0.38431,0.64975,1.044,0.013497,0.15139
0.87717,1.487,0.81971,2.6566,1.4237,0.875,0.39697,0.10457,1.0677,0.033067,0.22501
0.78421,1.1294,0.83108,2.0823,1.161,0.875,0.45334,0.14602,1.2207,0.017605,0.14667
0.87471,1.0205,1.2071,2.8765,1.1379,1,0.38139,0.38614,0.94868,0.016569,0.097457
0.79595,1.3174,0.83847,1.7726,1.2311,0.875,0.52083,0.57509,0.96437,0.016785,0.23157
1.1667,1.1735,1.4336,1.3237,1.4157,0.875,0.33691,0.69959,0.82462,0.013494,0.15227
1.0242,1.1692,1.3325,2.4997,1.2674,0.875,0.39316,0.38234,0.91652,0.0056028,0.13734
0.91262,1.1864,0.87322,2.7352,1.2658,0.875,0.41375,0.24702,1.118,0.018364,0.23485
0.63823,1.1184,0.84962,1.9498,1.0725,0.875,0.41462,0.085466,1.044,0.011922,0.18266
0.99017,1.2592,1.0114,3.3587,1.3324,0.875,0.44271,0.64787,1.0677,0.031932,0.1871
0.91373,1.202,1.0413,2.101,1.2452,0.75,0.34451,0.32223,1.005,0.040065,0.16471
0.67592,1.1901,0.67833,2.6876,1.161,0.875,0.45682,0.098947,1.0247,0.020889,0.19087
0.84375,1.3249,0.82746,2.9882,1.3512,0.875,0.40616,0.20796,1.0247,0.019261,0.24961
0.75708,1.0327,0.97684,2.0466,1.0987,0.75,0.38573,0.23805,0.88318,0.045783,0.13676
0.60392,1.2767,0.58862,2.1252,1.2219,0.75,0.32696,0.44148,1.1576,0.02832,0.21943
0.99867,1.3204,1.1995,2.785,1.2489,0.875,0.37398,0.30448,0.78102,0.022923,0.19694
0.99028,0.75395,1.8251,2.7333,1.0734,0.75,0.57673,0.087768,0.7874,0.020729,0.085749
0.96343,1.1158,1.1106,3.2813,1.2169,0.75,0.38167,0.44896,1.0488,0.029745,0.14955
1.0379,0.73118,1.9762,2.3795,1.1267,0.625,0.44533,0.36351,0.64807,0.010743,0.067167
1.0249,1.0514,1.3695,2.311,1.2738,0.625,0.18028,0.13186,0.82462,0.0095472,0.15153
1.2447,1.0982,1.7638,2.3136,1.447,0.625,0.3457,0.28795,0.80623,0.018698,0.12658
1.1336,0.99607,2.1741,1.8707,1.3862,0.75,0.64607,0.12164,1.01,0.019517,0.12445
1.0305,0.98748,1.5307,2.9439,1.2403,0.625,0.33121,0.32105,0.8775,0.011362,0.10868
1.0058,0.95588,1.5081,2.21,1.1313,0.5,0.093395,0.40329,0.65574,0.031127,0.11182
1.0919,0.87701,1.7697,2.3779,1.2707,0.75,0.34738,0.24492,0.78102,0.0085651,0.090093
0.89511,1.0162,1.0977,1.2604,1.0912,0.625,0.41008,0.27319,1.0488,0.0070405,0.16433
1.1465,1.0358,1.7817,2.4642,1.402,0.625,0.29034,0.1462,0.80623,0.026377,0.1124
0.79539,1.2771,0.91434,3.0761,1.2349,0.625,0.33305,0.66678,0.86603,0.048222,0.17096
1.0408,1.242,1.3746,3.4349,1.3657,0.625,0.50511,0.5349,0.76811,0.031952,0.14934
0.93211,1.1155,1.3145,2.5557,1.236,0.625,0.1733,0.14578,0.73485,0.022745,0.15414
1.0313,1.1508,1.4134,2.0413,1.3385,0.625,0.21357,0.32194,0.73485,0.042041,0.1351
1.2068,1.3855,2.4507,2.2644,1.6551,0.625,0.50028,0.25662,0.84853,0.013936,0.26011
1.175,1.028,1.8782,2.183,1.4198,0.625,0.18096,0.30784,0.8124,0.02924,0.12407
0.86004,1.1807,1.0205,2.7071,1.2754,0.625,0.46936,0.31102,0.8124,0.033662,0.17588
0.84516,1.1606,0.92864,2.6521,1.2476,0.625,0.53509,0.36283,0.98489,0.019366,0.18102
1.2555,0.88785,2.4251,2.4807,1.3902,0.75,0.37448,0.31794,0.78102,0.029396,0.091027
0.76581,0.94932,1.1236,2.3255,1.0588,0.625,0.278,0.41593,0.92736,0.011347,0.12452
1.1669,1.0595,1.6248,2.6587,1.3731,0.625,0.45511,0.40368,0.82462,0.0092528,0.14801
1.374,1.0798,1.8896,2.5701,1.5939,0.625,0.37031,0.4648,0.78102,0.018442,0.13957
1.0425,1.429,1.1236,3.6227,1.4276,0.625,0.19952,0.58228,0.65574,0.031564,0.21203
1.1945,1.1716,1.6501,2.8157,1.5078,0.625,0.20577,0.49923,0.70711,0.03332,0.14692
0.75248,1.2225,0.94019,2.883,1.2613,0.625,0.5367,0.21036,0.83666,0.013563,0.16755
0.83424,1.1941,0.98056,2.215,1.2125,0.5,0.17431,0.091909,0.86603,0.041154,0.19424
0.93999,1.1002,1.252,2.7043,1.2878,0.625,0.31509,0.65172,0.86603,0.021756,0.12518
0.86269,1.0199,1.5893,2.5237,1.1796,0.5,0.12498,0.27245,0.82462,0.017002,0.10792
1.0511,0.33992,5.7355,1.2183,1.0868,0.5,0.37041,0.33962,0.5099,0.0067707,0.010862
1.1086,0.85802,2.3839,2.7841,1.2338,0.625,0.48923,0.45347,0.6,0.020644,0.10999
1.0291,0.80278,2.0763,3.2036,1.1273,0.625,0.17276,0.45857,0.78102,0.022429,0.080951
0.92862,1.0965,1.198,3.9581,1.2104,0.625,0.19616,0.70429,0.92736,0.039231,0.13867
1.2303,0.86347,2.5334,2.6183,1.3292,0.625,0.26781,0.20708,0.63246,0.012982,0.1151
